painel_marca,painel_potencia,painel_modelo,painel_garantia,painel_quantidade,inversor_marca,inversor_modelo,inversor_potencia,custo_kit,inversor_garantia,cabo_quantidade,conector_quantidade
sunova,555,SS-555-72MDH,15,6,solplanet,S-G2,4,4615,10,25,6
sunova,555,SS-555-72MDH,15,7,solplanet,S-G3,4,5029,10,25,6
sunova,555,SS-555-72MDH,15,8,solplanet,S-G4,4,5442,10,25,6
sunova,555,SS-555-72MDH,15,9,solplanet,S-G5,4,6948,10,25,6
sunova,555,SS-555-72MDH,15,10,solplanet,S-G2,5,7395,10,25,6
sunova,555,SS-555-72MDH,15,11,solplanet,S-G2,5,7841,10,25,6
sunova,555,SS-555-72MDH,15,12,solplanet,S-G2,5,8288,10,25,6
sunova,555,SS-555-72MDH,15,13,solplanet,S-G2,5,9069,10,50,6
sunova,555,SS-555-72MDH,15,14,solplanet,S-G2,6,9699,10,50,6
sunova,555,SS-555-72MDH,15,15,solplanet,S-G2,6,10146,10,50,6
sunova,555,SS-555-72MDH,15,16,solplanet,S-G2,6,10593,10,50,6
sunova,555,SS-555-72MDH,15,17,solplanet,S-G2,8,12217,10,50,6
sunova,555,SS-555-72MDH,15,18,solplanet,S-G2,8,12664,10,50,6
